"id","name","province_name","aliases_csv"
R80302680,Arif Wala,Punjab,""
RPK57,Awaran,Balochistan,""
RPK9,Badin,Sindh,""
R80302961,Winder,Balochistan,""
R80302342,Balakot,Khyber Pakhtunkhwa,""
R80302286,Bari Kot,Khyber Pakhtunkhwa,""
R80302889,Bhit Shah,Sindh,""
RPK10,Kamalia,Punjab,""
MRG-CITY-93754981-414,Lahore,Punjab,""
R80302411,Kharian,Punjab,""
R80302497,Liaquatpur,Punjab,""
R80302926,Waggan,Sindh,""
R80302952,Sibbi,Balochistan,""
R80302451,Jhang,Punjab,""
RPK34,Mian Channu,Punjab,""
R80302662,Mianwali,Punjab,""
R80302667,Muzaffargarh,Punjab,""
R80302882,Nooriabad,Sindh,""
R80302290,Nowshera,Khyber Pakhtunkhwa,""
R80302312,Qaboola Sharif,Khyber Pakhtunkhwa,""
R80302720,Qadir Pur Rawan,Punjab,""
R80302721,Samundari,Punjab,""
R80302407,Sargodha,Punjab,""
R80302908,Sukkur,Sindh,""
R80302285,D.I.Khan,Khyber Pakhtunkhwa,""
R80302378,Garhi Habibullah,Khyber Pakhtunkhwa,""
R80302269,Gumbad Maria,Khyber Pakhtunkhwa,""
R80302296,Hattar,Khyber Pakhtunkhwa,""
R80302299,Mangora,Khyber Pakhtunkhwa,""
R80302272,Potha,Khyber Pakhtunkhwa,""
R80302328,Sarae Norang,Khyber Pakhtunkhwa,""
R80302297,Ser Dheri,Khyber Pakhtunkhwa,""
R80302435,Allahabad,Punjab,""
R80302767,Baseerpur,Punjab,""
R80302681,Chechian,Punjab,""
R80302552,D.G Khan,Punjab,""
